fit,StoreCode,net_sales,gross_sales,return_amount,discount_amount,net_qty,n_rows,gross_h1,gross_h2,growth_index,growth_ratio_h2_h1,return_rate_amount,discount_intensity,net_share_pct
Wide Leg,1879,7297.84,8479.65,-1181.81,272.7273,7,9,2636.34,5843.31,0.3782,2.2164,0.1394,0.0312,0.0409
Wide Leg,1880,4226.5734,5408.3834,-1181.81,179.0636,4,6,1090.9,4317.4834,0.5966,3.9577,0.2185,0.032,0.0237
Wide Leg,1881,465.45,1999.98,-1534.53,-156.3636,0,4,1999.98,0.0,-1.0,0.0,0.7673,0.0,0.0026
Wide Leg,1886,2682.3022,5671.3622,-2989.06,-283.6364,2,8,999.99,4671.3722,0.6474,4.6714,0.527,0.0,0.015
Wide Leg,1887,7794.04,8975.85,-1181.81,220.2818,7,9,2090.89,6884.96,0.5341,3.2928,0.1317,0.024,0.0437
Wide Leg,1888,4437.655,4437.655,0.0,295.4546,4,4,0.0,4437.655,1.0,,0.0,0.0624,0.0249
Wide Leg,1889,6369.1847,6369.1847,0.0,654.5455,6,6,763.63,5605.5547,0.7602,7.3407,0.0,0.0932,0.0357
Wide Leg,1893,-272.73,909.08,-1181.81,0.0,0,2,909.08,0.0,-1.0,0.0,1.3,0.0,-0.0015
Wide Leg,1895,2636.35,2636.35,0.0,0.0,2,2,0.0,2636.35,1.0,,0.0,0.0,0.0148
Wide Leg,1898,9363.57,9363.57,0.0,0.0,8,8,1999.98,7363.59,0.5728,3.6818,0.0,0.0,0.0525
Wide Leg,1900,1363.63,2545.44,-1181.81,0.0,1,3,0.0,2545.44,1.0,,0.4643,0.0,0.0076
Wide Leg,1907,5066.22,7272.68,-2206.46,-66.2454,4,8,1090.9,6181.78,0.7,5.6667,0.3034,0.0,0.0284
Wide Leg,1908,3853.3401,3853.3401,0.0,286.9364,4,4,3853.3401,0.0,-1.0,0.0,0.0,0.0693,0.0216
Wide Leg,1917,5436.3191,5436.3191,0.0,563.6364,6,6,1709.07,3727.2491,0.3712,2.1809,0.0,0.0939,0.0305
Wide Leg,1918,1045.43,1045.43,0.0,536.3636,3,3,727.26,318.17,-0.3913,0.4375,0.0,0.3391,0.0059
Wide Leg,1919,6692.0588,6692.0588,0.0,134.4818,6,6,999.99,5692.0688,0.7011,5.6921,0.0,0.0197,0.0375
Wide Leg,1920,5369.7726,6551.5826,-1181.81,0.0,5,7,4133.5744,2418.0082,-0.2619,0.585,0.1804,0.0,0.0301
Wide Leg,1924,4327.8013,5509.6112,-1181.81,210.1,4,6,1090.9,4418.7112,0.604,4.0505,0.2145,0.0367,0.0243
Wide Leg,1925,7411.1882,7411.1882,0.0,0.0,7,7,2999.97,4411.2182,0.1904,1.4704,0.0,0.0,0.0416
Wide Leg,1926,7511.7468,8693.5568,-1181.81,270.8364,7,9,1909.07,6784.4868,0.5608,3.5538,0.1359,0.0302,0.0421
Wide Leg,1927,8275.0676,8275.0676,0.0,0.0,7,7,0.0,8275.0676,1.0,,0.0,0.0,0.0464
Wide Leg,1929,3597.6209,4585.3309,-987.71,-194.1,3,5,999.9909,3585.34,0.5638,3.5854,0.2154,0.0,0.0202
