store_code,year_month,net_sales,gross_sales,return_amount,net_quantity,n_transactions,had_sales
1541,2024-11,0.0,0.0,0.0,0,0,False
1541,2024-12,42.180000000000064,3272.7000000000003,-3230.5200000000004,0,6,True
1541,2025-01,8999.94,8999.94,0.0,8,8,True
1542,2024-02,5617.36844,6708.26844,-1090.9,7,9,True
1542,2024-03,7717.41,10444.65,-2727.2400000000002,9,15,True
1542,2024-04,193.89160000000004,4193.8315999999995,-3999.94,0,10,True
1542,2024-05,3860.70231,6442.49231,-2581.79,5,11,True
1542,2024-06,5630.84,7693.1,-2062.26,6,10,True
1542,2024-07,3334.94272,5516.74272,-2181.8,4,8,True
1542,2024-08,6165.58,6165.58,0.0,6,6,True
1542,2024-09,10134.74,13134.710000000001,-2999.9700000000003,9,15,True
1542,2024-10,3416.08824,10903.14824,-7487.06,3,19,True
1542,2024-11,4353.67,9138.1,-4784.43,4,14,True
1542,2024-12,1543.2999999999997,4459.42,-2916.12,0,8,True
1542,2025-01,2959.97,6778.13,-3818.16,3,9,True
1543,2024-02,5106.2227299999995,9397.08273,-4290.860000000001,5,15,True
1543,2024-03,7584.404500000001,10379.5545,-2795.15,8,14,True
1543,2024-04,1017.66,6781.7300000000005,-5764.07,1,15,True
1543,2024-05,4743.07005,6379.41005,-1636.34,5,9,True
1543,2024-06,13966.02,20099.5,-6133.4800000000005,14,28,True
1543,2024-07,2765.6600000000003,5909.030000000001,-3143.37,2,10,True
1543,2024-08,12336.51909,15245.57909,-2909.0600000000004,13,19,True
1543,2024-09,29117.39,31208.280000000002,-2090.8900000000003,27,31,True
1543,2024-10,2309.74,2909.73,-599.99,2,4,True
1543,2024-11,21806.04739,24987.83739,-3181.79,21,27,True
